collocation,collocate_count,total_count,MI
anne,1,305,14.546515273313112
hamlin,2,465,14.154936746858256
had,2,402,13.944901532041792
me,1,152,13.541777354306449
were,1,149,13.513018361325024
little,1,140,13.423132857807829
she,5,669,13.357784146616961
which,2,254,13.282534527635029
miss,1,123,13.2363643462021
brown,2,243,13.218662344468642
some,1,115,13.139339891807237
and,15,1718,13.133473566392809
for,3,338,13.109766776423891
her,7,778,13.090121263791449
there,1,109,13.062034165639789
do,1,108,13.048737343026332
into,1,107,13.035316827264008
have,2,202,12.952061323614657
the,22,2174,12.920554447252874
in,8,750,12.844596626246105
them,1,92,12.817411796919876
been,1,92,12.817411796919876
at,4,365,12.805602494630241
should,1,91,12.801644481061558
on,3,269,12.78034970269833
him,2,176,12.753281459500158
all,3,260,12.73125515317016
but,4,320,12.615777935750225
did,1,79,12.597630589039964
it,7,531,12.539062969609413
what,2,150,12.522668531358743
seemed,1,75,12.522668531358743
that,7,517,12.500515389120192
is,3,218,12.47707166491863
s,5,361,12.467776772862672
such,1,70,12.423132857807829
i,9,616,12.390711380115452
my,2,136,12.381312682113201
sort,1,68,12.381312682113201
of,22,1459,12.345182390143457
t,3,197,12.330939159598083
would,2,131,12.327272842400312
was,9,574,12.288831766096237
you,10,629,12.268837952854788
to,21,1275,12.217813949830322
how,1,59,12.176492890224702
when,2,118,12.176492890224702
with,7,413,12.176492890224702
by,3,176,12.168318958779002
or,4,230,12.139339891807237
one,3,170,12.118278276279407
upon,1,56,12.101204762920467
very,2,112,12.101204762920467
great,1,56,12.101204762920467
he,11,607,12.079970928481247
am,1,55,12.075209554387522
if,2,110,12.075209554387522
his,7,381,12.06014210629858
looked,1,52,11.994289559003954
be,5,259,11.988730033662053
will,2,101,11.952061323614656
from,3,149,11.928055860603868
more,2,99,11.92320646094247
take,1,48,11.878812341584018
kind,1,48,11.878812341584018
not,6,286,11.868758676920097
may,1,47,11.8484386925405
old,2,93,11.833008651970895
most,1,46,11.817411796919876
things,2,91,11.801644481061558
life,1,45,11.785702937192537
must,2,88,11.75328145950016
mind,1,44,11.75328145950016
something,1,44,11.75328145950016
as,9,390,11.73125515317016
being,1,43,11.72011459556496
thing,1,42,11.686167263641622
once,1,42,11.686167263641622
because,1,40,11.615777935750224
last,1,39,11.579252059725109
yet,1,39,11.579252059725109
world,1,38,11.541777354306449
want,1,37,11.503303206491811
even,1,37,11.503303206491811
don,3,111,11.503303206491811
feel,1,36,11.463774842305174
always,1,34,11.381312682113201
than,2,67,11.359939031320634
look,1,32,11.293849840862862
any,2,63,11.27112976436278
man,2,62,11.248046151249737
himself,2,61,11.224587178425748
way,2,59,11.176492890224702
out,4,118,11.176492890224702
here,1,29,11.151830835990435
no,4,116,11.151830835990435
only,3,84,11.101204762920466
went,2,56,11.101204762920466
yes,1,28,11.101204762920466
saw,1,28,11.101204762920466
quite,2,56,11.101204762920466
understand,1,27,11.04873734302633
another,1,27,11.04873734302633
tell,1,27,11.04873734302633
beauty,1,27,11.04873734302633
people,2,53,11.02177029542606
this,8,197,10.91590166031924
make,2,48,10.878812341584018
a,47,1121,10.869831551990652
ever,2,47,10.8484386925405
who,4,91,10.801644481061558
poets,1,22,10.753281459500158
till,1,22,10.753281459500158
same,1,22,10.753281459500158
pale,1,22,10.753281459500158
cousin,1,22,10.753281459500158
has,2,42,10.686167263641622
well,2,42,10.686167263641622
your,5,105,10.686167263641622
richard,1,21,10.686167263641622
love,2,42,10.686167263641622
might,3,62,10.66308365052858
m,1,20,10.615777935750224
every,1,20,10.615777935750224
knew,1,20,10.615777935750224
answer,1,19,10.541777354306447
villa,1,19,10.541777354306447
struck,1,19,10.541777354306447
added,1,19,10.541777354306447
book,1,19,10.541777354306447
never,4,72,10.463774842305174
other,3,53,10.436807794704904
really,2,34,10.381312682113201
myself,1,17,10.381312682113201
could,5,80,10.293849840862862
dark,1,16,10.293849840862862
father,1,16,10.293849840862862
hair,2,31,10.248046151249737
almost,2,30,10.200740436471381
indeed,2,30,10.200740436471381
reality,1,15,10.200740436471381
woman,4,59,10.176492890224702
young,3,43,10.135152094843804
arnolfini,1,14,10.101204762920466
fine,1,14,10.101204762920466
know,5,68,10.05938458722584
spoke,1,13,9.994289559003954
handsome,1,13,9.994289559003954
saying,1,13,9.994289559003954
name,1,13,9.994289559003954
pretty,1,13,9.994289559003954
choice,1,12,9.878812341584018
whatever,1,12,9.878812341584018
talk,1,12,9.878812341584018
find,1,11,9.753281459500158
interrupted,1,11,9.753281459500158
feelings,1,11,9.753281459500158
soul,1,11,9.753281459500158
tall,1,11,9.753281459500158
moral,1,10,9.615777935750224
least,2,20,9.615777935750224
slight,1,10,9.615777935750224
seems,1,10,9.615777935750224
yourself,2,20,9.615777935750224
fear,1,10,9.615777935750224
black,2,19,9.541777354306447
instead,1,9,9.463774842305174
position,1,9,9.463774842305174
stranger,1,9,9.463774842305174
evidently,1,9,9.463774842305174
re,2,18,9.463774842305174
painters,1,9,9.463774842305174
